,host_id,host_is_superhost,neighbourhood,property_type,room_type,accommodates,bathrooms,bathrooms_text,bedrooms,beds,number_of_reviews,review_scores_rating,price
2535,59166690,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1 shared bath,1.0,1.0,0,,$25.00
2150,29777555,f,,Private room in loft,Private room,4,,1 private bath,1.0,2.0,107,4.8,$50.00
12144,433440922,f,,Room in hotel,Private room,4,,2 baths,2.0,2.0,6,4.17,$112.00
13327,98235920,f,,Private room in home,Private room,2,,1 private bath,1.0,1.0,2,5.0,$61.00
15020,10044989,f,,Entire rental unit,Entire home/apt,3,,2 baths,3.0,3.0,0,,$39.00
11948,430225764,f,"Barcelona, Catalunya, Spain",Room in hotel,Private room,2,,1 private bath,1.0,2.0,320,4.65,$83.00
6761,28720849,f,"Barcelona, Catalunya, Spain",Private room in rental unit,Private room,1,,1.5 shared baths,1.0,1.0,6,4.83,$20.00
12536,113020313,f,,Entire rental unit,Entire home/apt,5,,1 bath,3.0,4.0,4,4.5,$70.00
8377,302307722,t,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,2 baths,2.0,2.0,31,4.84,$160.00
3534,97797707,f,"Barcelona, Catalunya, Spain",Entire rental unit,Entire home/apt,5,,1 bath,3.0,4.0,6,5.0,$103.00
12614,102111567,f,,Private room in rental unit,Private room,2,,1 shared bath,1.0,1.0,10,4.4,$25.00
3670,64810417,f,,Private room in rental unit,Private room,1,,1 private bath,1.0,1.0,31,4.77,$42.00
11885,216599872,f,"Barcelona, Catalunya, Spain",Entire loft,Entire home/apt,3,,1 bath,1.0,2.0,5,4.6,$99.00
